MOVIE,DIRECTOR,ACTOR,GENRE
Memphis Belle,Michael Caton-Jones,"Matthew Modine, Eric Stoltz, Tate Donovan, D.B. Sweeney","Action, Drama, War"
The Monster Squad,Fred Dekker,"Andre Gower, Robby Kiger, Stephen Macht, Duncan Regehr","Action, Comedy, Fantasy"
Top Gun,Tony Scott,"Tom Cruise, Tim Robbins, Kelly McGillis, Val Kilmer","Action, Drama"
Romancing the Stone,Robert Zemeckis,"Michael Douglas, Kathleen Turner, Danny DeVito, Zack Norman","Action, Adventure, Comedy"
Repo Man,Alex Cox,"Harry Dean Stanton, Emilio Estevez, Tracey Walter, Olivia Barash","Action, Comedy, Crime"
48 Hrs.,Walter Hill,"Nick Nolte, Eddie Murphy, Annette O'Toole, Frank McRae","Action, Comedy, Crime"
Conan the Barbarian,John Milius,"Arnold Schwarzenegger, James Earl Jones, Max von Sydow, Sandahl Bergman","Action, Adventure, Fantasy"
Clash of the Titans,Desmond Davis,"Laurence Olivier, Harry Hamlin, Claire Bloom, Maggie Smith","Action, Adventure, Family"
Smokey and the Bandit,Hal Needham,"Burt Reynolds, Sally Field, Jerry Reed, Mike Henry","Action, Adventure, Comedy"
Death Wish,Michael Winner,"Charles Bronson, Hope Lange, Vincent Gardenia, Steven Keats","Action, Crime, Drama"
Westworld,Michael Crichton,"Yul Brynner, Richard Benjamin, James Brolin, Norman Bartold","Action, Sci-Fi, Thriller"
Tang shan da xiong,"Wei Lo, Chia-Hsiang Wu","Bruce Lee, Maria Yi, James Tien, Marilyn Bautista","Action, Crime, Drama"
Thunderball,Terence Young,"Sean Connery, Claudine Auger, Adolfo Celi, Luciana Paluzzi","Action, Adventure, Thriller"
Ready or Not,"Matt Bettinelli-Olpin, Tyler Gillett","Samara Weaving, Adam Brody, Mark O'Brien, Henry Czerny","Action, Comedy, Horror"
Boss Level,Joe Carnahan,"Frank Grillo, Mel Gibson, Naomi Watts, Michelle Yeoh","Action, Adventure, Comedy"
News of the World,Paul Greengrass,"Tom Hanks, Helena Zengel, Tom Astor, Travis Johnson","Action, Adventure, Drama"
Spies in Disguise,"Nick Bruno, Troy Quane","Rachel Brosnahan, Jarrett Bruno, Claire Crosby, Toru Uchikado","Animation, Action, Adventure"
Shin Gojira,"Hideaki Anno, Shinji Higuchi","Hiroki Hasegawa, Yutaka Takenouchi, Satomi Ishihara, Ren Ôsugi","Action, Drama, Horror"
Captain Marvel,"Anna Boden, Ryan Fleck","Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law","Action, Adventure, Sci-Fi"
The Outpost,Rod Lurie,"Scott Eastwood, Caleb Landry Jones, Orlando Bloom, Jack Kesy","Action, Drama, History"
Død snø 2,Tommy Wirkola,"Geir Vegar Hoel, Ørjan Gamst, Martin Starr, Jocelyn DeBoer","Action, Comedy, Fantasy"
The Magnificent Seven,Antoine Fuqua,"Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio","Action, Adventure, Western"
Spectre,Sam Mendes,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes","Action, Adventure, Thriller"
Thor: The Dark World,Alan Taylor,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Stellan Skarsgård","Action, Adventure, Fantasy"
Chappie,Neill Blomkamp,"Sharlto Copley, Dev Patel, Hugh Jackman, Sigourney Weaver","Action, Crime, Drama"
The Maze Runner,Wes Ball,"Dylan O'Brien, Kaya Scodelario, Will Poulter, Thomas Brodie-Sangster","Action, Mystery, Sci-Fi"
Tres metros sobre el cielo,Fernando González Molina,"Mario Casas, María Valverde, Álvaro Cervantes, Marina Salas","Action, Drama, Romance"
The Grey,Joe Carnahan,"Liam Neeson, Dermot Mulroney, Frank Grillo, Dallas Roberts","Action, Adventure, Drama"
What Happened to Monday,Tommy Wirkola,"Noomi Rapace, Glenn Close, Willem Dafoe, Marwan Kenzari","Action, Crime, Fantasy"
Aquaman,James Wan,"Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson","Action, Adventure, Fantasy"
Men in Black 3,Barry Sonnenfeld,"Will Smith, Tommy Lee Jones, Josh Brolin, Jemaine Clement","Action, Adventure, Comedy"
Unknown,Jaume Collet-Serra,"Liam Neeson, Diane Kruger, January Jones, Aidan Quinn","Action, Mystery, Thriller"
Tron,Joseph Kosinski,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner","Action, Adventure, Sci-Fi"
The Book of Eli,"Albert Hughes, Allen Hughes","Denzel Washington, Mila Kunis, Ray Stevenson, Gary Oldman","Action, Adventure, Drama"
Hanna,Joe Wright,"Saoirse Ronan, Cate Blanchett, Eric Bana, Vicky Krieps","Action, Adventure, Drama"
Green Zone,Paul Greengrass,"Matt Damon, Jason Isaacs, Greg Kinnear, Igal Naor","Action, Drama, Thriller"
We Own the Night,James Gray,"Joaquin Phoenix, Mark Wahlberg, Eva Mendes, Danny Hoch","Action, Crime, Drama"
Unstoppable,Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee","Action, Thriller"
Harsh Times,David Ayer,"Christian Bale, Freddy Rodríguez, Eva Longoria, Chaka Forman","Action, Crime, Drama"
Four Brothers,John Singleton,"Mark Wahlberg, Tyrese Gibson, André 3000, Garrett Hedlund","Action, Crime, Drama"
Street Kings,David Ayer,"Keanu Reeves, Forest Whitaker, Hugh Laurie, Chris Evans","Action, Crime, Thriller"
The Island,Michael Bay,"Scarlett Johansson, Ewan McGregor, Djimon Hounsou, Steve Buscemi","Action, Sci-Fi, Thriller"
Tristan + Isolde,Kevin Reynolds,"James Franco, Sophia Myles, Rufus Sewell, David O'Hara","Action, Drama, Romance"
The Transporter,"Louis Leterrier, Corey Yuen","Jason Statham, Shu Qi, Matt Schulze, François Berléand","Action, Crime, Thriller"
Dog Soldiers,Neil Marshall,"Sean Pertwee, Kevin McKidd, Emma Cleasby, Liam Cunningham","Action, Horror, Thriller"
The Fast and the Furious,Rob Cohen,"Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster","Action, Crime, Thriller"
The Score,Frank Oz,"Robert De Niro, Edward Norton, Marlon Brando, Angela Bassett","Action, Crime, Drama"
Hellboy,Guillermo del Toro,"Ron Perlman, Doug Jones, Selma Blair, John Hurt","Action, Adventure, Fantasy"
Ngo si seoi,"Benny Chan, Jackie Chan","Jackie Chan, Michelle Ferre, Mirai Yamamoto, Ron Smerczak","Action, Adventure, Comedy"
The Mask of Zorro,Martin Campbell,"Antonio Banderas, Anthony Hopkins, Catherine Zeta-Jones, José María de Tavira","Action, Adventure, Comedy"
The Long Kiss Goodnight,Renny Harlin,"Geena Davis, Samuel L. Jackson, Yvonne Zima, Craig Bierko","Action, Crime, Drama"
Bad Boys,Michael Bay,"Will Smith, Martin Lawrence, Lisa Boyle, Michael Taliferro","Action, Comedy, Crime"
Patriot Games,Phillip Noyce,"Harrison Ford, Sean Bean, Anne Archer, Patrick Bergin","Action, Thriller"
El mariachi,Robert Rodriguez,"Carlos Gallardo, Consuelo Gómez, Jaime de Hoyos, Peter Marquardt","Action, Crime, Thriller"
Young Guns,Christopher Cain,"Emilio Estevez, Kiefer Sutherland, Lou Diamond Phillips, Charlie Sheen","Action, Western"
Innerspace,Joe Dante,"Dennis Quaid, Martin Short, Meg Ryan, Kevin McCarthy","Action, Adventure, Comedy"
Bloodsport,Newt Arnold,"Jean-Claude Van Damme, Donald Gibb, Leah Ayres, Norman Burton","Action, Biography, Drama"
Enemy Mine,Wolfgang Petersen,"Dennis Quaid, Louis Gossett Jr., Brion James, Richard Marcus","Action, Adventure, Drama"
Superman II,"Richard Lester, Richard Donner","Gene Hackman, Christopher Reeve, Margot Kidder, Ned Beatty","Action, Adventure, Sci-Fi"
Mad Max,George Miller,"Mel Gibson, Joanne Samuel, Hugh Keays-Byrne, Steve Bisley","Action, Adventure, Sci-Fi"
Logan's Run,Michael Anderson,"Michael York, Jenny Agutter, Richard Jordan, Roscoe Lee Browne","Action, Adventure, Sci-Fi"
On Her Majesty's Secret Service,Peter R. Hunt,"George Lazenby, Diana Rigg, Telly Savalas, Gabriele Ferzetti","Action, Adventure, Thriller"
You Only Live Twice,Lewis Gilbert,"Sean Connery, Akiko Wakabayashi, Mie Hama, Tetsurô Tanba","Action, Adventure, Thriller"
Extraction,Sam Hargrave,"Chris Hemsworth, Bryon Lerum, Ryder Lerum, Rudhraksh Jaiswal","Action, Thriller"
Jumanji: The Next Level,Jake Kasdan,"Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan","Action, Adventure, Comedy"
Midway,Roland Emmerich,"Ed Skrein, Patrick Wilson, Woody Harrelson, Luke Evans","Action, Drama, History"
Bumblebee,Travis Knight,"Hailee Steinfeld, Jorge Lendeborg Jr., John Cena, Jason Drucker","Action, Adventure, Sci-Fi"
Kingsman: The Golden Circle,Matthew Vaughn,"Taron Egerton, Colin Firth, Mark Strong, Channing Tatum","Action, Adventure, Comedy"
Harriet,Kasi Lemmons,"Cynthia Erivo, Janelle Monáe, Leslie Odom Jr., Joe Alwyn","Action, Biography, Drama"
